region,category,parameter,mode,powertrain,year,unit,value,percentage
Australia,Historical,EV sales share,Cars,EV,2015,percent,1100,"110000,00%"
Australia,Historical,EV sales,Cars,BEV,2015,Vehicles,120,"12000,00%"
Australia,Historical,EV stock,Cars,BEV,2015,Vehicles,400,"40000,00%"
Australia,Historical,EV stock,Cars,BEV,2016,Vehicles,970,"97000,00%"
Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,1900,"190000,00%"
Australia,Historical,EV sales share,Cars,EV,2016,percent,189.999.997.615.814,"18999999761581400,00%"
Australia,Historical,EV stock share,Cars,EV,2016,percent,1600,"160000,00%"
Australia,Historical,EV stock,Cars,PHEV,2016,Vehicles,340,"34000,00%"
Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,340,"34000,00%"
Australia,Historical,EV sales,Cars,PHEV,2017,Vehicles,16,"1600,00%"
Australia,Historical,EV stock,Cars,PHEV,2017,Vehicles,54.999.999.701.977,"5499999970197700,00%"
Australia,Historical,EV stock share,Cars,EV,2017,percent,9.999.999.776.483,"999999977648300,00%"
Australia,Historical,EV sales share,Cars,EV,2017,percent,5.499.999.970.198,"549999997019800,00%"
Australia,Historical,EV charging points,EV,Publicly available fast,2017,charging points,9.999.999.776.483,"999999977648300,00%"
Australia,Historical,EV charging points,EV,Publicly available slow,2017,charging points,3.100.000.089.034,"310000008903400,00%"
Australia,Historical,EV sales,Cars,BEV,2017,Vehicles,110.000.000.859,"11000000085900,00%"
Australia,Historical,EV stock,Cars,BEV,2017,Vehicles,230.000.005.104,"23000000510400,00%"
Australia,Historical,EV stock,Cars,BEV,2018,Vehicles,"1,00E+09","99999997473,79%"
Australia,Historical,EV sales,Cars,BEV,2018,Vehicles,"2,90E+09","290000007225,90%"
Australia,Historical,EV charging points,EV,Publicly available fast,2018,charging points,14,"1400,00%"
Australia,Historical,EV charging points,EV,Publicly available slow,2018,charging points,620.000.004.768.372,"62000000476837200,00%"
Australia,Historical,EV sales share,Cars,EV,2018,percent,170.000.004.768.372,"17000000476837200,00%"
Australia,Historical,EV stock share,Cars,EV,2018,percent,3.700.000.001.118,"370000000111800,00%"
Australia,Historical,EV stock,Cars,PHEV,2018,Vehicles,19.999.999.552.965,"1999999955296500,00%"
Australia,Historical,EV sales,Cars,PHEV,2018,Vehicles,140.000.000.596.046,"14000000059604600,00%"
Australia,Historical,EV sales,Cars,PHEV,2019,Vehicles,37.000.000.476.837,"3700000047683700,00%"
Australia,Historical,EV stock,Cars,PHEV,2019,Vehicles,1.399.999.950.081,"139999995008100,00%"
Australia,Historical,EV stock share,Cars,EV,2019,percent,4,"400,00%"
Australia,Historical,EV sales share,Cars,EV,2019,percent,9,"900,00%"
Australia,Historical,EV charging points,EV,Publicly available slow,2019,charging points,59,"5900,00%"
Australia,Historical,EV sales,Cars,BEV,2019,Vehicles,20,"2000,00%"
Australia,Historical,EV stock,Cars,BEV,2019,Vehicles,6,"600,00%"
Australia,Historical,EV stock,Cars,BEV,2020,Vehicles,6,"600,00%"
Australia,Historical,EV sales,Cars,BEV,2020,Vehicles,400.000.005.960.465,"40000000596046500,00%"
Australia,Historical,EV charging points,EV,Publicly available slow,2020,charging points,1100,"110000,00%"
Australia,Historical,EV sales share,Cars,EV,2020,percent,4900,"490000,00%"
Australia,Historical,EV stock share,Cars,EV,2020,percent,16,"1600,00%"
Australia,Historical,EV stock,Cars,PHEV,2020,Vehicles,20,"2000,00%"
Australia,Historical,EV sales,Cars,PHEV,2020,Vehicles,91,"9100,00%"
Australia,Historical,EV sales,Cars,PHEV,2021,Vehicles,2.199.999.988.079,"219999998807900,00%"
Australia,Historical,EV stock,Cars,PHEV,2021,Vehicles,130,"13000,00%"
Australia,Historical,EV stock,Cars,FCEV,2021,Vehicles,1900,"190000,00%"
Australia,Historical,EV stock share,Cars,EV,2021,percent,1300,"130000,00%"
Australia,Historical,EV sales share,Cars,EV,2021,percent,2900,"290000,00%"
Australia,Historical,EV charging points,EV,Publicly available fast,2021,charging points,2,"200,00%"
Australia,Historical,EV charging points,EV,Publicly available slow,2021,charging points,2,"200,00%"
Australia,Historical,EV sales,Cars,BEV,2021,Vehicles,210,"21000,00%"
Australia,Historical,EV stock,Cars,BEV,2021,Vehicles,7300,"730000,00%"
Australia,Historical,EV sales,Cars,FCEV,2021,Vehicles,300.000.011.920.929,"30000001192092900,00%"
Australia,Historical,EV sales,Cars,FCEV,2022,Vehicles,100.000.001.490.116,"10000000149011600,00%"
Australia,Historical,EV stock,Cars,BEV,2022,Vehicles,13.000.000.268.221,"1300000026822100,00%"
Australia,Historical,EV sales,Cars,BEV,2022,Vehicles,9.999.999.776.483,"999999977648300,00%"
Australia,Historical,EV sales share,Cars,EV,2022,percent,2.400.000.113.994,"240000011399400,00%"
Australia,Historical,EV stock,Cars,FCEV,2022,Vehicles,12.000.000.104.308,"1200000010430800,00%"
Australia,Historical,EV stock,Cars,PHEV,2022,Vehicles,40,"4000,00%"
Australia,Historical,EV sales,Cars,PHEV,2022,Vehicles,26,"2600,00%"
Australia,Historical,EV stock share,Cars,EV,2022,percent,97,"9700,00%"
Australia,Historical,EV charging points,EV,Publicly available fast,2022,charging points,130,"13000,00%"
Australia,Historical,EV charging points,EV,Publicly available slow,2022,charging points,6300,"630000,00%"
Australia,Historical,EV charging points,EV,Publicly available fast,2023,charging points,6,"600,00%"
Australia,Historical,EV charging points,EV,Publicly available slow,2023,charging points,1500,"150000,00%"
Australia,Historical,EV stock share,Cars,EV,2023,percent,6700,"670000,00%"
Australia,Historical,EV sales,Cars,PHEV,2023,Vehicles,2,"200,00%"
Australia,Historical,EV stock,Cars,PHEV,2023,Vehicles,6,"600,00%"
Australia,Historical,EV stock,Cars,FCEV,2023,Vehicles,210,"21000,00%"
Australia,Historical,EV sales share,Cars,EV,2023,percent,1700,"170000,00%"
Australia,Historical,EV sales,Cars,BEV,2023,Vehicles,9800,"980000,00%"
Australia,Historical,EV stock,Cars,BEV,2023,Vehicles,27,"2700,00%"
Australia,Historical,EV sales,Cars,FCEV,2023,Vehicles,40,"4000,00%"
Austria,Historical,EV stock,Cars,BEV,2010,Vehicles,110,"11000,00%"
Austria,Historical,EV stock share,Cars,EV,2010,percent,63,"6300,00%"
Austria,Historical,EV stock share,Cars,EV,2011,percent,36,"3600,00%"
Austria,Historical,EV charging points,EV,Publicly available fast,2011,charging points,1000,"100000,00%"
Austria,Historical,EV charging points,EV,Publicly available slow,2011,charging points,8.500.000.089.407,"850000008940700,00%"
Austria,Historical,EV stock,Cars,BEV,2011,Vehicles,23.000.000.044.704,"2300000004470400,00%"
Austria,Historical,EV stock,Cars,BEV,2012,Vehicles,439.999.997.615.814,"43999999761581400,00%"
Austria,Historical,EV stock,Cars,PHEV,2012,Vehicles,189.999.997.615.814,"18999999761581400,00%"
Austria,Historical,EV charging points,EV,Publicly available fast,2012,charging points,12.000.000.104.308,"1200000010430800,00%"
Austria,Historical,EV charging points,EV,Publicly available slow,2012,charging points,3.899.999.894.202,"389999989420200,00%"
Austria,Historical,EV stock share,Cars,EV,2012,percent,3200,"320000,00%"
Austria,Historical,EV stock share,Cars,EV,2013,percent,16.000.000.759.959,"1600000075995900,00%"
Austria,Historical,EV sales share,Cars,EV,2013,percent,8.600.000.292.063,"860000029206300,00%"
Austria,Historical,EV charging points,EV,Publicly available fast,2013,charging points,240,"24000,00%"
Austria,Historical,EV charging points,EV,Publicly available slow,2013,charging points,910.000.038.146.973,"91000003814697300,00%"
Austria,Historical,EV stock,Cars,PHEV,2013,Vehicles,81,"8100,00%"
Austria,Historical,EV stock,Cars,BEV,2013,Vehicles,300,"30000,00%"
Austria,Historical,EV sales,Cars,BEV,2013,Vehicles,"1,00E+10","999999974737,88%"
Austria,Historical,EV sales,Cars,BEV,2014,Vehicles,"1,80E+09","180000006366,75%"
Austria,Historical,EV stock,Cars,BEV,2014,Vehicles,159.999.995.958,"15999999595800,00%"
Austria,Historical,EV sales,Cars,FCEV,2014,Vehicles,"1,00E+10","999999974737,88%"
Austria,Historical,EV stock,Cars,FCEV,2014,Vehicles,590.000.009.536.743,"59000000953674300,00%"
Austria,Historical,EV stock,Cars,PHEV,2014,Vehicles,1,"100,00%"
Austria,Historical,EV charging points,EV,Publicly available fast,2014,charging points,939.999.961.853.027,"93999996185302700,00%"
Austria,Historical,EV charging points,EV,Publicly available slow,2014,charging points,590.000.009.536.743,"59000000953674300,00%"
Austria,Historical,EV sales share,Cars,EV,2014,percent,16,"1600,00%"
Austria,Historical,EV stock share,Cars,EV,2014,percent,44,"4400,00%"
Austria,Historical,EV stock share,Cars,EV,2015,percent,21,"2100,00%"
Austria,Historical,EV sales share,Cars,EV,2015,percent,62,"6200,00%"
Austria,Historical,EV charging points,EV,Publicly available fast,2015,charging points,210,"21000,00%"
Austria,Historical,EV charging points,EV,Publicly available slow,2015,charging points,190,"19000,00%"
Austria,Historical,EV stock,Cars,PHEV,2015,Vehicles,300,"30000,00%"
Austria,Historical,EV stock,Cars,FCEV,2015,Vehicles,82,"8200,00%"
Austria,Historical,EV sales,Cars,FCEV,2015,Vehicles,28.999.999.165.535,"2899999916553500,00%"
Austria,Historical,EV sales,Cars,PHEV,2015,Vehicles,48.000.000.417.233,"4800000041723300,00%"
Austria,Historical,EV stock,Cars,BEV,2015,Vehicles,189.999.997.615.814,"18999999761581400,00%"
Austria,Historical,EV sales,Cars,BEV,2015,Vehicles,35.999.998.450.279,"3599999845027900,00%"
Austria,Historical,EV sales,Cars,BEV,2016,Vehicles,12.000.000.104.308,"1200000010430800,00%"
Austria,Historical,EV stock,Cars,BEV,2016,Vehicles,1500,"150000,00%"
Austria,Historical,EV sales,Cars,PHEV,2016,Vehicles,800,"80000,00%"
Austria,Historical,EV stock,Cars,FCEV,2016,Vehicles,929.999.980.144,"92999998014400,00%"
Austria,Historical,EV stock,Cars,PHEV,2016,Vehicles,14.000.000.432.134,"1400000043213400,00%"
Austria,Historical,EV charging points,EV,Publicly available fast,2016,charging points,61.999.998.986.721,"6199999898672100,00%"
Austria,Historical,EV charging points,EV,Publicly available slow,2016,charging points,2,"200,00%"
Austria,Historical,EV sales share,Cars,EV,2016,percent,170,"17000,00%"
Austria,Historical,EV stock share,Cars,EV,2016,percent,220,"22000,00%"
Austria,Historical,EV stock share,Cars,EV,2017,percent,2,"200,00%"
Austria,Historical,EV sales share,Cars,EV,2017,percent,19,"1900,00%"
Austria,Historical,EV charging points,EV,Publicly available fast,2017,charging points,86.999.997.496.605,"8699999749660500,00%"
Austria,Historical,EV charging points,EV,Publicly available slow,2017,charging points,140,"14000,00%"
Austria,Historical,EV stock,Cars,PHEV,2017,Vehicles,250,"25000,00%"
Austria,Historical,EV stock,Cars,FCEV,2017,Vehicles,16,"1600,00%"
Austria,Historical,EV sales,Cars,FCEV,2017,Vehicles,12.000.000.104.308,"1200000010430800,00%"
Austria,Historical,EV sales,Cars,PHEV,2017,Vehicles,4.900.000.058.115,"490000005811500,00%"
Austria,Historical,EV stock,Cars,BEV,2017,Vehicles,579.999.992.624,"57999999262400,00%"
Austria,Historical,EV sales,Cars,BEV,2017,Vehicles,11,"1100,00%"
Austria,Historical,EV sales,Cars,BEV,2018,Vehicles,14,"1400,00%"
Austria,Historical,EV stock,Cars,BEV,2018,Vehicles,20,"2000,00%"
Austria,Historical,EV sales,Cars,PHEV,2018,Vehicles,6.699.999.794.364,"669999979436400,00%"
Austria,Historical,EV sales,Cars,FCEV,2018,Vehicles,450,"45000,00%"
Austria,Historical,EV stock,Cars,FCEV,2018,Vehicles,880,"88000,00%"
Austria,Historical,EV stock,Cars,PHEV,2018,Vehicles,20.999.999.716.878,"2099999971687800,00%"
Austria,Historical,EV charging points,EV,Publicly available fast,2018,charging points,4.999.999.888.241,"499999988824100,00%"
Austria,Historical,EV charging points,EV,Publicly available slow,2018,charging points,"2,20E+08","22000000171,83%"
Austria,Historical,EV sales share,Cars,EV,2018,percent,129.999.995.231.628,"12999999523162800,00%"
Austria,Historical,EV stock share,Cars,EV,2018,percent,3,"300,00%"
Austria,Historical,EV stock share,Cars,EV,2019,percent,6,"600,00%"
Austria,Historical,EV sales share,Cars,EV,2019,percent,319.999.991.916,"31999999191600,00%"
Austria,Historical,EV charging points,EV,Publicly available fast,2019,charging points,210,"21000,00%"
Austria,Historical,EV charging points,EV,Publicly available slow,2019,charging points,820,"82000,00%"
Austria,Historical,EV stock,Cars,PHEV,2019,Vehicles,40,"4000,00%"
Austria,Historical,EV stock,Cars,FCEV,2019,Vehicles,650,"65000,00%"
Austria,Historical,EV sales,Cars,FCEV,2019,Vehicles,119.999.997.317.791,"11999999731779100,00%"
Austria,Historical,EV stock,Cars,BEV,2019,Vehicles,21.999.999.880.791,"2199999988079100,00%"
Austria,Historical,EV sales,Cars,BEV,2019,Vehicles,2.000.000.094.995,"200000009499500,00%"
Austria,Historical,EV sales,Cars,PHEV,2019,Vehicles,1.700.000.022.538,"170000002253800,00%"
Austria,Historical,EV sales,Cars,PHEV,2020,Vehicles,52.999.999.374.151,"5299999937415100,00%"
Austria,Historical,EV sales,Cars,BEV,2020,Vehicles,6.099.999.882.281,"609999988228100,00%"
Austria,Historical,EV stock,Cars,BEV,2020,Vehicles,310,"31000,00%"
Austria,Historical,EV sales,Cars,FCEV,2020,Vehicles,3500,"350000,00%"
Austria,Historical,EV stock,Cars,FCEV,2020,Vehicles,2,"200,00%"
Austria,Historical,EV stock,Cars,PHEV,2020,Vehicles,2400,"240000,00%"
Austria,Historical,EV charging points,EV,Publicly available fast,2020,charging points,5,"500,00%"
Austria,Historical,EV charging points,EV,Publicly available slow,2020,charging points,5,"500,00%"
Austria,Historical,EV sales share,Cars,EV,2020,percent,61,"6100,00%"
Austria,Historical,EV stock share,Cars,EV,2020,percent,61,"6100,00%"
Austria,Historical,EV stock share,Cars,EV,2021,percent,7.000.000.216.067,"700000021606700,00%"
Austria,Historical,EV sales share,Cars,EV,2021,percent,869.999.988.936,"86999998893600,00%"
Austria,Historical,EV charging points,EV,Publicly available fast,2021,charging points,399.999.989.895,"39999998989500,00%"
Austria,Historical,EV charging points,EV,Publicly available slow,2021,charging points,4.999.999.888.241,"499999988824100,00%"
Austria,Historical,EV stock,Cars,PHEV,2021,Vehicles,79.000.003.635.883,"7900000363588300,00%"
Austria,Historical,EV stock,Cars,FCEV,2021,Vehicles,150.000.005.960.464,"15000000596046400,00%"
Austria,Historical,EV sales,Cars,FCEV,2021,Vehicles,9.999.999.776.483,"999999977648300,00%"
Austria,Historical,EV stock,Cars,BEV,2021,Vehicles,25.000.000.372.529,"2500000037252900,00%"
Austria,Historical,EV sales,Cars,BEV,2021,Vehicles,359.999.993.816,"35999999381600,00%"
Austria,Historical,EV sales,Cars,PHEV,2021,Vehicles,16.000.000.759.959,"1600000075995900,00%"
Austria,Historical,EV sales,Cars,PHEV,2022,Vehicles,11,"1100,00%"
Austria,Historical,EV sales,Cars,BEV,2022,Vehicles,23,"2300,00%"
Austria,Historical,EV stock,Cars,BEV,2022,Vehicles,400,"40000,00%"
Austria,Historical,EV sales,Cars,FCEV,2022,Vehicles,120,"12000,00%"
Austria,Historical,EV stock,Cars,FCEV,2022,Vehicles,270,"27000,00%"
Austria,Historical,EV stock,Cars,PHEV,2022,Vehicles,39,"3900,00%"
Austria,Historical,EV charging points,EV,Publicly available fast,2022,charging points,15,"1500,00%"
Austria,Historical,EV charging points,EV,Publicly available slow,2022,charging points,86,"8600,00%"
Austria,Historical,EV sales share,Cars,EV,2022,percent,62,"6200,00%"
Austria,Historical,EV stock share,Cars,EV,2022,percent,10,"1000,00%"
Austria,Historical,EV stock share,Cars,EV,2023,percent,14,"1400,00%"
Austria,Historical,EV sales share,Cars,EV,2023,percent,6.300.000.008.196,"630000000819600,00%"
Austria,Historical,EV charging points,EV,Publicly available fast,2023,charging points,28.999.999.165.535,"2899999916553500,00%"
Austria,Historical,EV charging points,EV,Publicly available slow,2023,charging points,479.999.987.874,"47999998787400,00%"
Austria,Historical,EV stock,Cars,PHEV,2023,Vehicles,2,"200,00%"
Austria,Historical,EV stock,Cars,FCEV,2023,Vehicles,360,"36000,00%"
Austria,Historical,EV sales,Cars,FCEV,2023,Vehicles,2700,"270000,00%"
Austria,Historical,EV stock,Cars,BEV,2023,Vehicles,1,"100,00%"
Austria,Historical,EV sales,Cars,BEV,2023,Vehicles,2800,"280000,00%"
Austria,Historical,EV sales,Cars,PHEV,2023,Vehicles,3.400.000.045.076,"340000004507600,00%"
Belgium,Historical,EV stock,Buses,BEV,2010,Vehicles,280.000.001.192.093,"28000000119209300,00%"
Belgium,Historical,EV sales,Vans,BEV,2010,Vehicles,119.999.997.317.791,"11999999731779100,00%"
Belgium,Historical,EV stock,Vans,BEV,2010,Vehicles,3,"300,00%"
Belgium,Historical,EV sales,Cars,BEV,2010,Vehicles,15,"1500,00%"
Belgium,Historical,EV stock,Cars,BEV,2010,Vehicles,1,"100,00%"
Belgium,Historical,EV sales,Cars,PHEV,2010,Vehicles,7.799.999.788.404,"779999978840400,00%"
Belgium,Historical,EV sales share,Cars,EV,2010,percent,4.800.000.227.988,"480000022798800,00%"
Belgium,Historical,EV stock,Cars,FCEV,2010,Vehicles,13,"1300,00%"
Belgium,Historical,EV stock,Cars,PHEV,2010,Vehicles,720,"72000,00%"
Belgium,Historical,EV stock,Trucks,BEV,2010,Vehicles,14.999.999.664.724,"1499999966472400,00%"
Belgium,Historical,EV stock share,Buses,EV,2010,percent,5.799.999.926.239,"579999992623900,00%"
Belgium,Historical,EV sales share,Vans,EV,2010,percent,180,"18000,00%"
Belgium,Historical,EV stock share,Vans,EV,2010,percent,640.000.009.536.743,"64000000953674300,00%"
Belgium,Historical,EV stock share,Cars,EV,2010,percent,1000,"100000,00%"
Belgium,Historical,EV stock share,Trucks,EV,2010,percent,119.999.997.317.791,"11999999731779100,00%"
Belgium,Historical,EV stock share,Trucks,EV,2011,percent,"1,40E+09","140000001920,27%"
Belgium,Historical,EV stock share,Cars,EV,2011,percent,"6,10E+09","609999988228,08%"
Belgium,Historical,EV sales share,Trucks,EV,2011,percent,829.999.983.310.699,"82999998331069900,00%"
Belgium,Historical,EV stock share,Vans,EV,2011,percent,359.999.990.463.257,"35999999046325700,00%"
Belgium,Historical,EV sales share,Vans,EV,2011,percent,2.300.000.051.036,"230000005103600,00%"
Belgium,Historical,EV stock share,Buses,EV,2011,percent,76,"7600,00%"
Belgium,Historical,EV stock,Trucks,BEV,2011,Vehicles,76,"7600,00%"
Belgium,Historical,EV sales,Trucks,BEV,2011,Vehicles,7.699.999.958.277,"769999995827700,00%"
Belgium,Historical,EV stock,Cars,PHEV,2011,Vehicles,339.999.998.687,"33999999868700,00%"
Belgium,Historical,EV stock,Cars,FCEV,2011,Vehicles,4,"400,00%"
Belgium,Historical,EV sales share,Cars,EV,2011,percent,4,"400,00%"
Belgium,Historical,EV sales,Cars,PHEV,2011,Vehicles,1.300.000.003.539,"130000000353900,00%"
Belgium,Historical,EV stock,Cars,BEV,2011,Vehicles,"9,20E+09","920000020414,59%"
Belgium,Historical,EV sales,Cars,BEV,2011,Vehicles,230,"23000,00%"
Belgium,Historical,EV stock,Vans,BEV,2011,Vehicles,3700,"370000,00%"
Belgium,Historical,EV sales,Vans,BEV,2011,Vehicles,9,"900,00%"
Belgium,Historical,EV stock,Buses,BEV,2011,Vehicles,940,"94000,00%"
Belgium,Historical,EV stock,Buses,BEV,2012,Vehicles,4,"400,00%"
Belgium,Historical,EV sales,Vans,BEV,2012,Vehicles,240,"24000,00%"
Belgium,Historical,EV stock,Vans,BEV,2012,Vehicles,1500,"150000,00%"
Belgium,Historical,EV sales,Cars,BEV,2012,Vehicles,21,"2100,00%"
Belgium,Historical,EV stock,Cars,BEV,2012,Vehicles,21,"2100,00%"
Belgium,Historical,EV sales,Cars,PHEV,2012,Vehicles,4,"400,00%"
Belgium,Historical,EV sales share,Cars,EV,2012,percent,80,"8000,00%"
Belgium,Historical,EV stock,Cars,FCEV,2012,Vehicles,189.999.997.615.814,"18999999761581400,00%"
Belgium,Historical,EV stock,Cars,PHEV,2012,Vehicles,5.299.999.844.283,"529999984428300,00%"
Belgium,Historical,EV stock,Trucks,BEV,2012,Vehicles,109.999.999.403.954,"10999999940395400,00%"
Belgium,Historical,EV stock share,Buses,EV,2012,percent,13.000.000.268.221,"1300000026822100,00%"
Belgium,Historical,EV sales share,Vans,EV,2012,percent,25.000.000.372.529,"2500000037252900,00%"
Belgium,Historical,EV stock share,Vans,EV,2012,percent,41.999.999.433.756,"4199999943375600,00%"
Belgium,Historical,EV stock share,Cars,EV,2012,percent,100.000.001.490.116,"10000000149011600,00%"
Belgium,Historical,EV stock share,Trucks,EV,2012,percent,71.999.996.900.559,"7199999690055900,00%"
Belgium,Historical,EV stock share,Trucks,EV,2013,percent,1200,"120000,00%"
Belgium,Historical,EV stock share,Cars,EV,2013,percent,3800,"380000,00%"
Belgium,Historical,EV stock share,Vans,EV,2013,percent,159.999.995.958,"15999999595800,00%"
Belgium,Historical,EV sales share,Vans,EV,2013,percent,939.999.961.853.027,"93999996185302700,00%"
Belgium,Historical,EV stock share,Buses,EV,2013,percent,96,"9600,00%"
Belgium,Historical,EV charging points,EV,Publicly available fast,2013,charging points,480,"48000,00%"
Belgium,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1.700.000.022.538,"170000002253800,00%"
Belgium,Historical,EV stock,Trucks,BEV,2013,Vehicles,12.000.000.104.308,"1200000010430800,00%"
Belgium,Historical,EV stock,Cars,PHEV,2013,Vehicles,10.999.999.940.395,"1099999994039500,00%"
Belgium,Historical,EV stock,Cars,FCEV,2013,Vehicles,2.300.000.051.036,"230000005103600,00%"
Belgium,Historical,EV sales share,Cars,EV,2013,percent,730.000.028.852,"73000002885200,00%"
Belgium,Historical,EV sales,Cars,PHEV,2013,Vehicles,1.900.000.032.038,"190000003203800,00%"
Belgium,Historical,EV stock,Cars,BEV,2013,Vehicles,1700,"170000,00%"
Belgium,Historical,EV sales,Cars,BEV,2013,Vehicles,7100,"710000,00%"
Belgium,Historical,EV stock,Vans,BEV,2013,Vehicles,2,"200,00%"
Belgium,Historical,EV sales,Vans,BEV,2013,Vehicles,6,"600,00%"
Belgium,Historical,EV stock,Buses,BEV,2013,Vehicles,210,"21000,00%"
Belgium,Historical,EV stock,Buses,BEV,2014,Vehicles,45,"4500,00%"
Belgium,Historical,EV sales,Vans,BEV,2014,Vehicles,29,"2900,00%"
Belgium,Historical,EV stock,Buses,PHEV,2014,Vehicles,7000,"700000,00%"
Belgium,Historical,EV stock,Vans,BEV,2014,Vehicles,20000,"2000000,00%"
Belgium,Historical,EV sales,Cars,BEV,2014,Vehicles,310,"31000,00%"
Belgium,Historical,EV stock,Cars,BEV,2014,Vehicles,400,"40000,00%"
Belgium,Historical,EV sales,Buses,BEV,2014,Vehicles,1000,"100000,00%"
Belgium,Historical,EV sales share,Cars,EV,2014,percent,84,"8400,00%"
Belgium,Historical,EV stock,Cars,FCEV,2014,Vehicles,440,"44000,00%"
Belgium,Historical,EV stock,Cars,PHEV,2014,Vehicles,339.999.998.687,"33999999868700,00%"
Belgium,Historical,EV sales,Cars,PHEV,2014,Vehicles,"1,80E+09","180000006366,75%"
Belgium,Historical,EV stock,Trucks,BEV,2014,Vehicles,169.999.999.343,"16999999934300,00%"
Belgium,Historical,EV sales,Trucks,BEV,2014,Vehicles,380.000.012.228,"38000001222800,00%"
Belgium,Historical,EV charging points,EV,Publicly available fast,2014,charging points,20,"2000,00%"
Belgium,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1,"100,00%"
Belgium,Historical,EV stock share,Buses,EV,2014,percent,10,"1000,00%"
Belgium,Historical,EV sales share,Vans,EV,2014,percent,22,"2200,00%"
Belgium,Historical,EV stock share,Vans,EV,2014,percent,52.000.001.072.884,"5200000107288400,00%"
Belgium,Historical,EV sales share,Buses,EV,2014,percent,489.999.987.185,"48999998718500,00%"
Belgium,Historical,EV stock share,Cars,EV,2014,percent,3700,"370000,00%"
Belgium,Historical,EV sales share,Trucks,EV,2014,percent,37,"3700,00%"
Belgium,Historical,EV stock share,Trucks,EV,2014,percent,1100,"110000,00%"
Belgium,Historical,EV stock share,Trucks,EV,2015,percent,450,"45000,00%"
Belgium,Historical,EV stock share,Cars,EV,2015,percent,400,"40000,00%"
Belgium,Historical,EV stock share,Vans,EV,2015,percent,6.200.000.178.069,"620000017806900,00%"
Belgium,Historical,EV sales share,Vans,EV,2015,percent,18.999.999.389.052,"1899999938905200,00%"
Belgium,Historical,EV stock share,Buses,EV,2015,percent,1100,"110000,00%"
Belgium,Historical,EV charging points,EV,Publicly available fast,2015,charging points,6,"600,00%"
Belgium,Historical,EV charging points,EV,Publicly available slow,2015,charging points,8500,"850000,00%"
Belgium,Historical,EV stock,Trucks,BEV,2015,Vehicles,390.000.001.062,"39000000106200,00%"
Belgium,Historical,EV sales,Cars,PHEV,2015,Vehicles,650.000.013.411,"65000001341100,00%"
Belgium,Historical,EV stock,Cars,PHEV,2015,Vehicles,49,"4900,00%"
Belgium,Historical,EV stock,Cars,FCEV,2015,Vehicles,49,"4900,00%"
Belgium,Historical,EV sales share,Cars,EV,2015,percent,21.999.999.880.791,"2199999988079100,00%"
Belgium,Historical,EV stock,Cars,BEV,2015,Vehicles,100.000.001.490.116,"10000000149011600,00%"
Belgium,Historical,EV sales,Cars,FCEV,2015,Vehicles,100.000.001.490.116,"10000000149011600,00%"
Belgium,Historical,EV sales,Cars,BEV,2015,Vehicles,990,"99000,00%"
